name,type,address,defacto,scale,mega,inverter,system,subsystem,description
# coil status
enableHeatpumpResetAllAlarms,CoilStatus,3,4,1,1,1,Heatpump,Unit,"Reset all alarms"
enableHeatpumpInternalAdditionalHeater,CoilStatus,4,5,1,0,1,Heatpump,Unit,"Enable internal additional heater"
enableHeatpumpExternalAdditionalHeater,CoilStatus,5,6,1,1,1,Heatpump,Unit,"Enable external additional heater"
enableTapwaterHgw,CoilStatus,6,7,1,0,1,Tapwater,HGW,"Enable HGW"
enableHeatpumpFlowPressureSwitch,CoilStatus,7,8,1,1,1,Heatpump,Unit,"Enable flow switch/pressure switch"
enableHeatpumpTapWater,CoilStatus,8,9,1,1,1,Heatpump,Unit,"Enable tap water"
enableHeatpumpHeat,CoilStatus,9,10,1,1,1,Heatpump,Unit,"Enable heat"
enableCoolingActiveCooling,CoilStatus,10,11,1,1,1,Cooling,Unit,"Enable active cooling"
enableHeatingMixValve1,CoilStatus,11,12,1,1,1,Heating,MixValve1,"Enable mix valve 1"
enableTapwaterTwc,CoilStatus,12,13,1,1,1,Tapwater,TWC,"Enable TWC"
enableTapwaterWcs,CoilStatus,13,14,1,1,0,Tapwater,WCS,"Enable WCS"
enableTapwaterHotGasPump,CoilStatus,14,15,1,1,0,Tapwater,Unit,"Enable hot gas pump"
enableHeatingMixValve2,CoilStatus,16,17,1,1,1,Heating,MixValve2,"Enable mix valve 2 (EM)"
enableHeatingMixValve3,CoilStatus,17,18,1,1,1,Heating,MixValve3,"Enable mix valve 3 (EM)"
enableHeatingMixValve4,CoilStatus,18,19,1,1,1,Heating,MixValve4,"Enable mix valve 4 (EM)"
enableHeatingMixValve5,CoilStatus,19,20,1,1,1,Heating,MixValve5,"Enable mix valve 5 (EM)"
enableHeatpumpBrineOutMonitoring,CoilStatus,20,21,1,1,1,Heatpump,Unit,"Enable brine out monitoring"
enableHeatpumpBrinePumpContinuousOperation,CoilStatus,21,22,1,1,1,Heatpump,Unit,"Enable brine pump continuous operation"
enableHeatpumpSystemCirculationPump,CoilStatus,22,23,1,1,1,Heatpump,Unit,"Enable system circulation pump"
enableCoolingDewPointCalculation,CoilStatus,23,24,1,1,0,Cooling,CoolingCircuit,"Enable dew point calculation"
enableTapwaterAntiLegionella,CoilStatus,24,25,1,0,1,Tapwater,Unit,"Enable anti legionella"
enableHeatpumpAdditionalHeaterOnly,CoilStatus,25,26,1,1,1,Heatpump,Unit,"Enable additional heater only (No compressor). Requires Operation mode: Standby"
enableElectricCurrentLimitation,CoilStatus,26,27,1,0,1,Electric,Unit,"Enable current limitation"
enablePoolPool,CoilStatus,28,29,1,1,1,Pool,Unit,"Enable pool (EM)"
enableCoolingSurplusHeatChiller,CoilStatus,29,30,1,1,0,Cooling,SurplusHeat,"Enable surplus heat, chiller (no borehole)"
enableCoolingSurplusHeatBorehole,CoilStatus,30,31,1,1,0,Cooling,Unit,"Enable surplus heat, borehole (no chiller)"
enablePoolExternalAdditionalHeater,CoilStatus,31,32,1,1,1,Pool,Unit,"Enable external additional heater for pool (EM)"
enablePoolInternalAdditionalHeater,CoilStatus,32,33,1,0,1,Pool,Unit,"Enable internal additional heater for pool (EM)"
enableCoolingPassiveCooling,CoilStatus,33,34,1,1,1,Cooling,Unit,"Enable passive cooling (EM)"
enableHeatpumpVariableSpeedCondenserPump,CoilStatus,34,35,1,1,1,Heatpump,Unit,"Enable variable speed mode for condenser pump"
enableHeatpumpVariableSpeedBrinePump,CoilStatus,35,36,1,1,1,Heatpump,Unit,"Enable variable speed mode for brine pump"
enableHeatingMixValve1CoolingMode,CoilStatus,36,37,1,1,1,Heating,MixValve1,"Enable cooling mode for mixing valve 1"
enableHeatingMixValve1OutdoorTempCooling,CoilStatus,37,38,1,1,1,Heating,MixValve1,"Enable outdoor temp dependent for cooling with mixing valve 1"
enableHeatingMixValve1BrinePumpOnCooling,CoilStatus,38,39,1,1,1,Heating,MixValve1,"Enable internal brine pump to start when cooling is active for mixing valve 1"
enableHeatpumpOutdoorTempExternalHeater,CoilStatus,39,40,1,1,1,Heatpump,Unit,"Enable outdoor temp dependent for external heater"
enableHeatpumpBrineInMonitoring,CoilStatus,40,41,1,1,1,Heatpump,Unit,"Enable brine in monitoring"
enableHeatingFixedSystemSupplySetPoint,CoilStatus,41,42,1,1,1,Heating,Unit,"Enable fixed system supply set point, allows defacto address 40117"
enableHeatpumpEvaporatorFreezeProtection,CoilStatus,42,43,1,1,1,Heatpump,Unit,"Enable evaporator freeze protection"
enableHeatingMixValve2OutdoorTempCooling,CoilStatus,43,44,1,1,0,Heating,MixValve2,"Enable outdoor temp dependent for cooling with mixing valve 2 (EM3 only)"
enableHeatingMixValve2DewPointCalculation,CoilStatus,44,45,1,1,0,Heating,MixValve2,"Enable dew point calculation on mixing valve 2, requires room sensor for mixing valve 2 (EM3 only)"
enableHeatingMixValve2OutdoorTempHeating,CoilStatus,45,46,1,1,0,Heating,MixValve2,"Enable outdoor temp dependent for heating with mixing valve 2 (EM3 only)"
enableHeatingMixValve3OutdoorTempCooling,CoilStatus,46,47,1,1,0,Heating,MixValve3,"Enable outdoor temp dependent for cooling with mixing valve 3 (EM3 only)"
enableHeatingMixValve3DewPointCalculation,CoilStatus,47,48,1,1,0,Heating,MixValve3,"Enable dew point calculation on mixing valve 3, requires room sensor for mixing valve 3 (EM3 only)"
enableHeatingMixValve3OutdoorTempHeating,CoilStatus,48,49,1,1,0,Heating,MixValve3,"Enable outdoor temp dependent for heating with mixing valve 3 (EM3 only)"
enableHeatingMixValve4OutdoorTempCooling,CoilStatus,49,50,1,1,0,Heating,MixValve4,"Enable outdoor temp dependent for cooling with mixing valve 4 (EM3 only)"
enableHeatingMixValve4DewPointCalculation,CoilStatus,50,51,1,1,0,Heating,MixValve4,"Enable dew point calculation on mixing valve 4, requires room sensor for mixing valve 4 (EM3 only)"
enableHeatingMixValve4OutdoorTempHeating,CoilStatus,51,52,1,1,0,Heating,MixValve4,"Enable outdoor temp dependent for heating with mixing valve 4 (EM3 only)"
enableHeatingMixValve5OutdoorTempCooling,CoilStatus,52,53,1,1,0,Heating,MixValve5,"Enable outdoor temp dependent for cooling with mixing valve 5 (EM3 only)"
enableHeatingMixValve5DewPointCalculation,CoilStatus,53,54,1,1,0,Heating,MixValve5,"Enable dew point calculation on mixing valve 5, requires room sensor for mixing valve 5 (EM3 only)"
enableHeatingMixValve5OutdoorTempHeating,CoilStatus,54,55,1,1,0,Heating,MixValve5,"Enable outdoor temp dependent for heating with mixing valve 5 (EM3 only)"
enableHeatingMixValve2BrinePumpOnCooling,CoilStatus,55,56,1,1,0,Heating,MixValve2,"Enable internal brine pump to start when cooling is active for mixing valve 2 (EM3 only)"
enableHeatingMixValve3BrinePumpOnCooling,CoilStatus,56,57,1,1,0,Heating,MixValve3,"Enable internal brine pump to start when cooling is active for mixing valve 3 (EM3 only)"
enableHeatingMixValve4BrinePumpOnCooling,CoilStatus,57,58,1,1,0,Heating,MixValve4,"Enable internal brine pump to start when cooling is active for mixing valve 4 (EM3 only)"
enableHeatingMixValve5BrinePumpOnCooling,CoilStatus,58,59,1,1,0,Heating,MixValve5,"Enable internal brine pump to start when cooling is active for mixing valve 5 (EM3 only)"
# input status
alarmHeatpumpClassA,InputStatus,0,10001,1,1,1,Heatpump,Unit,"Alarm active, Class: A"
alarmHeatpumpClassB,InputStatus,1,10002,1,1,1,Heatpump,Unit,"Alarm active, Class: B"
alarmHeatpumpClassC,InputStatus,2,10003,1,1,1,Heatpump,Unit,"Alarm active, Class: C"
alarmHeatpumpClassDGenesisSecondary,InputStatus,3,10004,1,1,0,Heatpump,Unit,"Alarm active, Class: D - Genesis secondary"
alarmHeatpumpClassELegacySecondary,InputStatus,4,10005,1,1,0,Heatpump,Unit,"Alarm active, Class: E - Legacy secondary"
alarmHeatpumpHighPressureSwitch,InputStatus,9,10010,1,1,1,Heatpump,Unit,"High pressure switch alarm"
alarmHeatpumpLowPressureLevel,InputStatus,10,10011,1,1,1,Heatpump,Unit,"Low pressure level alarm"
alarmHeatpumpHighDischargePipeTemperature,InputStatus,11,10012,1,1,1,Heatpump,Unit,"High discharge pipe temperature alarm"
alarmHeatpumpOperatingPressureLimit,InputStatus,12,10013,1,1,1,Heatpump,Unit,"Operating pressure limit indication"
alarmHeatpumpDischargePipeSensor,InputStatus,13,10014,1,1,1,Heatpump,Unit,"Discharge pipe sensor alarm"
alarmHeatpumpLiquidLineSensor,InputStatus,14,10015,1,1,1,Heatpump,Unit,"Liquid line sensor alarm"
alarmHeatpumpSuctionGasSensor,InputStatus,15,10016,1,1,1,Heatpump,Unit,"Suction gas sensor alarm"
alarmHeatpumpFlowPressureSwitch,InputStatus,16,10017,1,1,1,Heatpump,Unit,"Flow/pressure switch alarm"
alarmHeatpumpPowerInputPhaseDetection,InputStatus,22,10023,1,1,1,Heatpump,Unit,"Power input phase detection alarm"
alarmHeatpumpInverterUnit,InputStatus,23,10024,1,1,1,Heatpump,Unit,"Inverter unit alarm"
alarmHeatingSystemSupplyLowTemperature,InputStatus,24,10025,1,1,1,Heating,Unit,"System supply low temperature alarm"
alarmHeatpumpCompressorLowSpeed,InputStatus,25,10026,1,1,1,Heatpump,Unit,"Compressor low speed alarm"
alarmHeatpumpLowSuperHeat,InputStatus,26,10027,1,1,1,Heatpump,Unit,"Low super heat alarm"
alarmHeatpumpPressureRatioOutOfRange,InputStatus,27,10028,1,1,1,Heatpump,Unit,"Pressure ratio out of range alarm"
alarmHeatpumpCompressorPressureOutsideEnvelope,InputStatus,28,10029,1,1,1,Heatpump,Unit,"Compressor pressure outside envelope alarm"
alarmHeatpumpBrineTemperatureOutOfRange,InputStatus,29,10030,1,1,1,Heatpump,Unit,"Brine temperature out of range alarm"
alarmHeatpumpBrineInSensor,InputStatus,30,10031,1,1,1,Heatpump,Unit,"Brine in sensor alarm"
alarmHeatpumpBrineOutSensor,InputStatus,31,10032,1,1,1,Heatpump,Unit,"Brine out sensor alarm"
alarmHeatpumpCondenserInSensor,InputStatus,32,10033,1,1,1,Heatpump,Unit,"Condenser in sensor alarm"
alarmHeatpumpCondenserOutSensor,InputStatus,33,10034,1,1,1,Heatpump,Unit,"Condenser out sensor alarm"
alarmHeatpumpOutdoorSensor,InputStatus,34,10035,1,1,1,Heatpump,Unit,"Outdoor sensor alarm"
alarmHeatingSystemSupplyLineSensor,InputStatus,35,10036,1,1,1,Heating,Unit,"System supply line sensor alarm"
alarmHeatingMixValve1SupplyLineSensor,InputStatus,36,10037,1,1,1,Heating,MixValve1,"Mix valve 1 supply line sensor alarm"
alarmHeatingMixValve2SupplyLineSensor,InputStatus,37,10038,1,1,1,Heating,MixValve2,"Mix valve 2 supply line sensor alarm (EM)"
alarmHeatingMixValve3SupplyLineSensor,InputStatus,38,10039,1,1,1,Heating,MixValve3,"Mix valve 3 supply line sensor alarm (EM)"
alarmHeatingMixValve4SupplyLineSensor,InputStatus,39,10040,1,1,1,Heating,MixValve4,"Mix valve 4 supply line sensor alarm (EM)"
alarmHeatingMixValve5SupplyLineSensor,InputStatus,40,10041,1,1,1,Heating,MixValve5,"Mix valve 5 supply line sensor alarm (EM)"
alarmTapwaterWcsReturnLineSensor,InputStatus,44,10045,1,1,0,Tapwater,WCS,"WCS return line sensor alarm (EM)"
alarmTapwaterTwcSupplyLineSensor,InputStatus,45,10046,1,1,1,Tapwater,TWC,"TWC supply line sensor alarm (EM)"
alarmCoolingTankSensor,InputStatus,46,10047,1,1,0,Cooling,CoolingTank,"Cooling tank sensor alarm (EM)"
alarmCoolingSupplyLineSensor,InputStatus,47,10048,1,1,1,Cooling,CoolingTank,"Cooling supply line sensor alarm (EM)"
alarmCoolingCircuitReturnLineSensor,InputStatus,48,10049,1,1,0,Cooling,CoolingCircuit,"Cooling circuit return line sensor alarm (EM)"
alarmHeatpumpBrineDeltaOutOfRange,InputStatus,49,10050,1,1,1,Heatpump,Unit,"Brine delta out of range alarm"
alarmTapwaterMidSensor,InputStatus,50,10051,1,1,1,Tapwater,Unit,"Tap water mid sensor alarm"
alarmTapwaterTwcCirculationReturnSensor,InputStatus,51,10052,1,1,1,Tapwater,TWC,"TWC circulation return sensor alarm (EM)"
alarmTapwaterHgwSensor,InputStatus,52,10053,1,0,1,Tapwater,HGW,"HGW sensor alarm"
alarmHeatpumpInternalAdditionalHeater,InputStatus,53,10054,1,0,1,Heatpump,Unit,"Internal additional heater alarm"
alarmHeatpumpBrineInHighTemperature,InputStatus,55,10056,1,1,1,Heatpump,Unit,"Brine in high temperature alarm"
alarmHeatpumpBrineInLowTemperature,InputStatus,56,10057,1,1,1,Heatpump,Unit,"Brine in low temperature alarm"
alarmHeatpumpBrineOutLowTemperature,InputStatus,57,10058,1,1,1,Heatpump,Unit,"Brine out low temperature alarm"
alarmTapwaterTwcCirculationReturnLowTemperature,InputStatus,58,10059,1,1,1,Tapwater,TWC,"TWC circulation return low temperature alarm (EM)"
alarmTapwaterTwcSupplyLowTemperature,InputStatus,59,10060,1,1,1,Tapwater,TWC,"TWC supply low temperature alarm (EM)"
alarmHeatingMixValve1SupplyTemperatureDeviation,InputStatus,60,10061,1,1,1,Heating,MixValve1,"Mix valve 1 supply temperature deviation alarm"
alarmHeatingMixValve2SupplyTemperatureDeviation,InputStatus,61,10062,1,1,1,Heating,MixValve2,"Mix valve 2 supply temperature deviation alarm (EM)"
alarmHeatingMixValve3SupplyTemperatureDeviation,InputStatus,62,10063,1,1,1,Heating,MixValve3,"Mix valve 3 supply temperature deviation alarm (EM)"
alarmHeatingMixValve4SupplyTemperatureDeviation,InputStatus,63,10064,1,1,1,Heating,MixValve4,"Mix valve 4 supply temperature deviation alarm (EM)"
alarmHeatingMixValve5SupplyTemperatureDeviation,InputStatus,64,10065,1,1,1,Heating,MixValve5,"Mix valve 5 supply temperature deviation alarm (EM)"
